Category,Tweet
other,@ACNI2012 @TheToka920 Never knew having 1 or 2 followers had anything to do with reality...Malinga has never been s… https://t.co/SSmLS18O4k
other,"MYCA Magical Moments:  September, 2011: Sham Chotoo of the Bowie Boys and Girls Club joins Maryland Youth Cricket a… https://t.co/zpbqXvK21S"
other,The current state of last year's @BBL finalists -  @StarsBBL - P10 - W9 L1 @RenegadesBBL - P10 - W1 L9   ?????????? #Cricket #BBL09
other,@HOLLYJISOO Why did you bring a cricket...
other,"Babar Azam only Pakistani included in the ICC ODI team of the year. If we had more test like other nations, Babar s… https://t.co/uRHi87uEsf"
other,RT @IExpressSports: #INDvAUS   Rishabh Pant was ruled out of India’s second ODI against Australia as the young wicket-keeper batsman has no…
other,"RT @ThinkBoiseFirst: @BoiseFryCo &amp; Idaho company Orchestra Provisions team up on new fry combo with ""cricket"" seasonings. https://t.co/GXrt…"
other,RT @GabbbarSingh: I'm surprised a lot of people haven't seen the greatest documentary ever made about Cricket. Please undo this and watch '…
other,RT @BCCI: The ICC ODI Cricketer of the Year award goes to none other than the HITMAN for his stupendous show with 5 centuries in the ICC Cr…
other,RT @WajidAfridi551: #1YearOfTeamISF  Imran Khan played cricket in Pakistan and the United Kingdom in his teens and continued playing while…
other,"RT @WajidAfridi551: #1YearOfTeamISF There were several accomplished cricket players in his family, including two elder cousins, Javed Burki…"
other,@daniel86cricket @OfficialSLC i think bcci has forced sl cricket board to create a easy team to win...what did you say ???????????
other,We all know about the Babar Azam cover drive  Let me introduce you to the Saif Badar cover drive which is just as g… https://t.co/3OwV14dhCd
other,"RT @JayasreeVijayan: ‘No NRC, no NPR, no CAA’: Protests reach Wankhede during India-Australia clash! 25 college students from the city, inc…"
other,"RT @ians_india: #India skipper #ViratKohli is surprised to have won the #ICC Spirit of #Cricket Award for 2019 on Wednesday, as for many ye…"
other,"RT @catturd2: Any word from Bernie Sanders about his violent, fascist high-ranking campaign worker who was caught on tape threatening to bu…"
other,IND v AUS: Concussed Pant ruled out of 2nd ODI https://t.co/2ojFbm4tu9
other,RT @SampathStats: Most runs by a player in Twenty20 cricket:  13296 - CHRIS GAYLE 9972 - CHRIS GAYLE's boundary runs 9935 - Kieron Pollard…
other,RT @StarSportsIndia: This is Virat Virat is a great batsman Virat respects the opposition Be like Virat!  Here's to the #TeamIndia captain…
